Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Computer Architecture free,4.7 stars,2.3k reviews,Computer Architecture free course by Princeton University,Advanced, Computer Architecture ,3-6 months,/learn/comparch,,,,,,,,,,0
IBM DevOps and Software Engineering,4.6 stars,41.3k reviews,IBM DevOps and Software Engineering professional certificate by IBM,Beginner," Software Engineering, DevOps, Cloud Computing ",3-6 months,/professional-certificates/devops-and-software-engineering,,,,,,,,,,0
"Python for Data Science, AI & Development",4.6 stars,32.9k reviews,Python for Data Science,Beginner," Python Programming, Data Structures, Programming Principles ",1-3 months,/learn/python-for-applied-data-science-ai,,,,,,,,,,0
IBM Full Stack Software Developer,4.6 stars,39.1k reviews,IBM Full Stack Software Developer professional certificate by IBM,Beginner," Web Development, Cloud Computing, IBM Cloud ",3-6 months,/professional-certificates/ibm-full-stack-cloud-developer,,,,,,,,,,0
Computer Science: Programming with a Purpose free,4.7 stars,972 reviews,Computer Science: Programming with a Purpose free course by Princeton University,Beginner," Computer Programming, Java Programming, Algorithms ",1-3 months,/learn/cs-programming-java,,,,,,,,,,0
Introduction to Computer Science and Programming specialization ,4.2 stars,1.3k reviews,Introduction to Computer Science and Programming specialization by University of London,Beginner," Mathematics, Computer Programming, Computer Science ",3-6 months,/specializations/introduction-computer-science-programming,,,,,,,,,,0
Introduction to Embedded Systems Software and Development Environments,4.5 stars,585 reviews,Introduction to Embedded Systems Software and Development Environments course by University of Colorado Boulder,Intermediate," C Programming Language Family, Computer Programming, Computer Architecture ",1 month,/learn/introduction-embedded-systems,,,,,,,,,,0
Python for Everybody specialization ,4.8 stars,266.4k reviews,Python for Everybody specialization by University of Michigan,Beginner," Computer Programming, Python Programming, Statistical Programming ",3-6 months,/specializations/python,,,,,,,,,,0
Applied Software Engineering Fundamentals specialization ,4.6 stars,34.6k reviews,Applied Software Engineering Fundamentals specialization by IBM,Beginner," Software Engineering, Computer Programming, Python Programming ",3-6 months,/specializations/software-engineering-fundamentals,,,,,,,,,,0
Java Programming and Software Engineering Fundamentals specialization ,4.6 stars,21.3k reviews,Java Programming and Software Engineering Fundamentals specialization by Duke University,Beginner," Computer Programming, Java Programming, Web Development ",3-6 months,/specializations/java-programming,,,,,,,,,,0
C Programming with Linux specialization ,4.6 stars,209 reviews,C Programming with Linux specialization by Dartmouth College,Beginner," Computer Programming, Human Computer Interaction, Algebra ",3-6 months,/specializations/c-programming-linux,,,,,,,,,,0
Introduction to Systems Engineering free,4.7 stars,714 reviews,Introduction to Systems Engineering free course by UNSW Sydney (The University of New South Wales),Mixed," Operating Systems, Systems Design, Theoretical Computer Science ",1-3 months,/learn/systems-engineering,,,,,,,,,,0
Introduction to TCP/IP free,4.6 stars,2.5k reviews,Introduction to TCP/IP free course by Yonsei University,Beginner," Computer Networking, Network Security, Computer Architecture ",1-3 months,/learn/tcpip,,,,,,,,,,0
Introduction to Medical Software free,4.8 stars,105 reviews,Introduction to Medical Software free course by Yale University,Intermediate," Software Engineering, Software Testing, Computational Thinking ",3-6 months,/learn/introduction-to-medical-software,,,,,,,,,,0
Introduction to Architecting Smart IoT Devices free,4.1 stars,290 reviews,Introduction to Architecting Smart IoT Devices free course by EIT Digital,Beginner," Software Engineering, Computer Architecture, Internet Of Things ",1 month,/learn/iot-devices,,,,,,,,,,0
How Computers Work,4.6 stars,508 reviews,How Computers Work course by University of London,Beginner," Computer Networking, Cyberattacks, Data Management ",1 month,/learn/how-computers-work,,,,,,,,,,0
Data Privacy Fundamentals free,4.8 stars,531 reviews,Data Privacy Fundamentals free course by Northeastern University,Beginner," Security Engineering, Human Factors (Security), System Security ",1 month,/learn/northeastern-data-privacy,,,,,,,,,,0
The Arduino Platform and C Programming,4.7 stars,7k reviews,The Arduino Platform and C Programming course by University of California,Mixed," Internet Of Things, C Programming Language Family, Computer Architecture ",1 month,/learn/arduino-platform,,,,,,,,,,0
